"id","business_name","coord_x","coord_y","full_address"
"3000000-101-1981-04161","최성근의 작은음악회","197677.671306891    ","452095.674793395    ","서울특별시 종로구 당주동 167-1 "
"3000000-101-1981-06298","충무칼국수","199676.208357803    ","452361.379257501    ","서울특별시 종로구 인의동 86 "
"3000000-101-1981-06729","몽롱","198611.480043238    ","451894.10888298     ","서울특별시 종로구 관철동 19-14 "
"3000000-101-1982-00044","종로강남한의원식품사업부더쌍화","198950.532059637    ","452139.853746964    ","서울특별시 종로구 낙원동 213-2 지상1층 "
"3000000-101-1982-00642","또오래분식","199864.62723981     ","452251.955563447    ","서울특별시 종로구 연지동 203-0 "
"3000000-101-1982-00649","현대주물럭","197736.409683499    ","452089.202701048    ","서울특별시 종로구 당주동 38-1 "
"3000000-101-1982-00892","한사발포차 종각점","198758.698435007    ","451832.627163341    ","서울특별시 종로구 관철동 11-1 "
"3000000-101-1982-00893","몽롱 종각점","198611.480043238    ","451894.10888298     ","서울특별시 종로구 관철동 19-14 "
"3000000-101-1982-01009","미락웰빙한식","200226.800824633    ","452037.178858713    ","서울특별시 종로구 종로5가 193-13 지상1층 "
"3000000-101-1982-01064","명인뜰채 약선흑염소","200385.831662154    ","452045.719812887    ","서울특별시 종로구 종로5가 245-0 "
"3000000-101-1982-01376","돈맛꿀","199006.837233012    ","452085.964430524    ","서울특별시 종로구 낙원동 179-0 지상1층 "
"3000000-101-1982-01597","호가양꼬치","198231.45513357     ","452285.135018594    ","서울특별시 종로구 수송동 71-1 지층.1층 "
"3000000-101-1982-01688","한우방","201931.122751162    ","452677.556091808    ","서울특별시 종로구 숭인동 1144 "
"3000000-101-1982-01709","남도아구찜","196888.796740825    ","451699.533954572    ","서울특별시 종로구 교남동 9-2 "
"3000000-101-1982-01824","영재식당","199768.273124817    ","452358.8932537      ","서울특별시 종로구 인의동 25 "
"3000000-101-1982-01867","하마비","197604.852809624    ","452676.119879186    ","서울특별시 종로구 적선동 20-0 "
"3000000-101-1982-01906","청림","200436.17414231     ","452238.347991128    ","서울특별시 종로구 종로6가 240-4 "
"3000000-101-1982-01910","메가 엠지씨 커피 종로혜화경찰서점","199864.62723981     ","452251.955563447    ","서울특별시 종로구 연지동 203-0 "
"3000000-101-1982-01946","고가네숯불구이","199042.72412071     ","451834.553171381    ","서울특별시 종로구 관수동 130-1 "
"3000000-101-1982-03181","누나홀닭","198214.752101235    ","452186.145185422    ","서울특별시 종로구 청진동 13 "
